paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
mi,105,version_30,8,stratified,50,42,92,92,0.5709325396825397,0.6827067669172933,0.6827067669172933,0.0
mi,105,version_30,8,stratified,50,43,92,92,0.6969246031746033,0.6205513784461153,0.5979949874686717,-0.022556390977443552
mi,105,version_30,8,stratified,50,44,92,92,0.7222222222222222,0.6666666666666666,0.5739348370927319,-0.09273182957393478
mi,105,version_30,8,stratified,50,45,92,92,0.5907738095238095,0.675187969924812,0.6155388471177945,-0.05964912280701751
mi,105,version_30,8,stratified,50,46,92,92,0.6592261904761905,0.693233082706767,0.5889724310776943,-0.10426065162907272
mi,105,version_30,8,stratified,100,42,67,67,0.5159474671669794,0.7195121951219512,0.7082551594746717,-0.011257035647279534
mi,105,version_30,8,stratified,100,43,67,67,0.6472795497185742,0.6913696060037524,0.700750469043152,0.009380863039399556
mi,105,version_30,8,stratified,100,44,67,67,0.6969981238273921,0.7251407129455909,0.5469043151969981,-0.1782363977485928
mi,105,version_30,8,stratified,100,45,67,67,0.6510318949343339,0.6200750469043151,0.6031894934333959,-0.016885553470919246
mi,105,version_30,8,stratified,100,46,67,67,0.6425891181988743,0.7776735459662288,0.6566604127579738,-0.12101313320825502
mi,105,version_30,8,stratified,200,42,17,17,0.4714285714285714,0.3939393939393939,0.5757575757575757,0.18181818181818177
mi,105,version_30,8,stratified,200,43,17,17,0.5571428571428572,0.4545454545454546,0.7121212121212122,0.25757575757575757
mi,105,version_30,8,stratified,200,44,17,17,0.6428571428571428,0.803030303030303,0.8333333333333333,0.030303030303030276
mi,105,version_30,8,stratified,200,45,17,17,0.5757575757575757,0.8999999999999999,0.7428571428571429,-0.15714285714285703
mi,105,version_30,8,stratified,200,46,17,17,0.8636363636363636,0.6571428571428571,0.6571428571428571,0.0
mi,105,version_30,17,stratified,10,42,112,112,0.6265588136164477,0.7023929895517358,0.6521739130434783,-0.05021907650825752
mi,105,version_30,17,stratified,10,43,112,112,0.6289180990899899,0.6916076845298281,0.5466801482979441,-0.14492753623188404
mi,105,version_30,17,stratified,10,44,112,112,0.6258847320525784,0.6939669700033704,0.664644421975059,-0.029322548028311357
mi,105,version_30,17,stratified,10,45,112,112,0.6450960566228514,0.6811594202898551,0.57195820694304,-0.1092012133468151
mi,105,version_30,17,stratified,10,46,112,112,0.7061004381530165,0.6410515672396361,0.4368048533872599,-0.2042467138523762
mi,105,version_30,17,stratified,50,42,92,92,0.6602182539682541,0.7162907268170426,0.6807017543859649,-0.035588972431077726
mi,105,version_30,17,stratified,50,43,92,92,0.6865079365079365,0.6601503759398496,0.7328320802005012,0.07268170426065157
mi,105,version_30,17,stratified,50,44,92,92,0.6155753968253969,0.7428571428571429,0.7027568922305765,-0.040100250626566414
mi,105,version_30,17,stratified,50,45,92,92,0.6468253968253967,0.7047619047619047,0.6791979949874687,-0.02556390977443601
mi,105,version_30,17,stratified,50,46,92,92,0.7192460317460317,0.6902255639097745,0.7283208020050125,0.03809523809523796
mi,105,version_30,17,stratified,100,42,67,67,0.6350844277673546,0.7045028142589119,0.700750469043152,-0.0037523452157599557
mi,105,version_30,17,stratified,100,43,67,67,0.6416510318949343,0.6913696060037524,0.8377110694183866,0.14634146341463417
mi,105,version_30,17,stratified,100,44,67,67,0.8039399624765479,0.7298311444652908,0.775797373358349,0.045966228893058125
mi,105,version_30,17,stratified,100,45,67,67,0.7120075046904315,0.6791744840525329,0.6303939962476548,-0.04878048780487809
mi,105,version_30,17,stratified,100,46,67,67,0.699812382739212,0.7363977485928705,0.775797373358349,0.039399624765478425
mi,105,version_30,17,stratified,200,42,17,17,0.5714285714285714,0.5151515151515151,0.8181818181818181,0.303030303030303
mi,105,version_30,17,stratified,200,43,17,17,0.6142857142857143,0.5757575757575757,1.0,0.4242424242424243
mi,105,version_30,17,stratified,200,44,17,17,0.7714285714285714,0.6666666666666666,0.803030303030303,0.13636363636363635
mi,105,version_30,17,stratified,200,45,17,17,0.6818181818181819,0.6714285714285714,0.7857142857142857,0.11428571428571432
mi,105,version_30,17,stratified,200,46,17,17,0.8181818181818181,0.5142857142857142,0.5857142857142856,0.0714285714285714
mi,105,version_41,0,stratified,10,42,112,112,0.7549713515335356,0.875968992248062,0.8021570610043814,-0.07381193124368057
mi,105,version_41,0,stratified,10,43,112,112,0.8452982810920121,0.8001348163127738,0.5557802494101787,-0.24435456690259516
mi,105,version_41,0,stratified,10,44,112,112,0.8399056285810583,0.7795753286147624,0.7596899224806202,-0.019885406134142247
mi,105,version_41,0,stratified,10,45,112,112,0.8062015503875969,0.831479609032693,0.6285810583080552,-0.2028985507246378
mi,105,version_41,0,stratified,10,46,112,112,0.8446241995281428,0.7984496124031008,0.688237276710482,-0.11021233569261879
mi,105,version_41,0,stratified,50,42,92,92,0.8179563492063492,0.7974937343358396,0.8120300751879699,0.014536340852130292
mi,105,version_41,0,stratified,50,43,92,92,0.826388888888889,0.7974937343358396,0.8035087719298245,0.006015037593984918
mi,105,version_41,0,stratified,50,44,92,92,0.7703373015873015,0.8220551378446116,0.8536340852130325,0.03157894736842093
mi,105,version_41,0,stratified,50,45,92,92,0.7817460317460317,0.8421052631578947,0.8401002506265663,-0.002005012531328343
mi,105,version_41,0,stratified,50,46,92,92,0.8427579365079365,0.831077694235589,0.850125313283208,0.01904761904761898
mi,105,version_41,0,stratified,100,42,67,67,0.7842401500938087,0.8414634146341464,0.8649155722326454,0.023452157598498946
mi,105,version_41,0,stratified,100,43,67,67,0.7898686679174485,0.8630393996247654,0.9090056285178236,0.045966228893058236
mi,105,version_41,0,stratified,100,44,67,67,0.7607879924953095,0.8442776735459663,0.8217636022514071,-0.02251407129455918
mi,105,version_41,0,stratified,100,45,67,67,0.8714821763602251,0.7851782363977486,0.7551594746716698,-0.03001876172607887
mi,105,version_41,0,stratified,100,46,67,67,0.8433395872420263,0.8273921200750469,0.8339587242026266,0.0065666041275797005
mi,105,version_41,0,stratified,200,42,17,17,0.8999999999999999,0.803030303030303,0.8333333333333334,0.030303030303030387
mi,105,version_41,0,stratified,200,43,17,17,0.7285714285714285,0.8181818181818181,0.9545454545454545,0.13636363636363635
mi,105,version_41,0,stratified,200,44,17,17,0.8,0.8181818181818181,0.7878787878787878,-0.030303030303030276
mi,105,version_41,0,stratified,200,45,17,17,0.6666666666666666,0.9714285714285715,0.9571428571428571,-0.014285714285714457
mi,105,version_41,0,stratified,200,46,17,17,0.9242424242424242,0.7285714285714285,0.8285714285714285,0.09999999999999998
mi,105,version_41,2,stratified,10,42,112,112,0.7364341085271318,0.8419278732726659,0.7492416582406471,-0.09268621503201879
mi,105,version_41,2,stratified,10,43,112,112,0.7802494101786316,0.8055274688237276,0.5803842264914054,-0.2251432423323222
mi,105,version_41,2,stratified,10,44,112,112,0.797438490057297,0.7647455342096394,0.7654196157735086,0.0006740815638691666
mi,105,version_41,2,stratified,10,45,112,112,0.7728345129760701,0.7950792045837547,0.6302662622177283,-0.1648129423660264
mi,105,version_41,2,stratified,10,46,112,112,0.8014829794405123,0.7805864509605662,0.6093697337377822,-0.17121671722278398
mi,105,version_41,2,stratified,50,42,92,92,0.7723214285714286,0.7884711779448621,0.7834586466165414,-0.005012531328320691
mi,105,version_41,2,stratified,50,43,92,92,0.8293650793650793,0.7418546365914787,0.7719298245614035,0.03007518796992481
mi,105,version_41,2,stratified,50,44,92,92,0.7787698412698413,0.7654135338345864,0.8095238095238095,0.0441102756892231
mi,105,version_41,2,stratified,50,45,92,92,0.7663690476190477,0.8230576441102757,0.8245614035087719,0.0015037593984962294
mi,105,version_41,2,stratified,50,46,92,92,0.8015873015873016,0.8130325814536341,0.8320802005012531,0.01904761904761898
mi,105,version_41,2,stratified,100,42,67,67,0.7260787992495309,0.8302063789868668,0.8302063789868668,0.0
mi,105,version_41,2,stratified,100,43,67,67,0.7589118198874296,0.850844277673546,0.9080675422138836,0.05722326454033766
mi,105,version_41,2,stratified,100,44,67,67,0.7504690431519699,0.848968105065666,0.8161350844277673,-0.032833020637898724
mi,105,version_41,2,stratified,100,45,67,67,0.8771106941838649,0.7467166979362101,0.7091932457786116,-0.03752345215759845
mi,105,version_41,2,stratified,100,46,67,67,0.8039399624765479,0.798311444652908,0.7926829268292683,-0.0056285178236397115
mi,105,version_41,2,stratified,200,42,17,17,0.942857142857143,0.7272727272727273,0.7424242424242424,0.015151515151515138
mi,105,version_41,2,stratified,200,43,17,17,0.7,0.7575757575757576,0.8939393939393939,0.13636363636363635
mi,105,version_41,2,stratified,200,44,17,17,0.7571428571428571,0.8181818181818181,0.8333333333333333,0.015151515151515138
mi,105,version_41,2,stratified,200,45,17,17,0.696969696969697,0.9571428571428571,0.9285714285714285,-0.02857142857142858
mi,105,version_41,2,stratified,200,46,17,17,0.9242424242424242,0.7571428571428571,0.8142857142857143,0.05714285714285716
mi,105,version_41,4,stratified,10,42,112,112,0.6703741152679474,0.7765419615773508,0.7259858442871586,-0.05055611729019216
mi,105,version_41,4,stratified,10,43,112,112,0.7505898213683855,0.7148634984833164,0.5719582069430401,-0.1429052915402763
mi,105,version_41,4,stratified,10,44,112,112,0.7441860465116279,0.704752275025278,0.6895854398382205,-0.015166835187057526
mi,105,version_41,4,stratified,10,45,112,112,0.7266599258510279,0.7185709470845972,0.6592517694641051,-0.0593191776204921
mi,105,version_41,4,stratified,10,46,112,112,0.7917087967644086,0.6720593191776205,0.40175261206606006,-0.27030670711156046
mi,105,version_41,4,stratified,50,42,92,92,0.7152777777777779,0.6932330827067669,0.7258145363408521,0.03258145363408527
